	Alive_mice	Unborn_mice
0	100	0
1	100	0
2	100	0
3	100	0
4	100	0
5	100	0
6	100	0
7	100	0
8	100	0
9	100	0
10	100	0
11	100	0
12	100	0
13	100	0
14	100	0
15	100	0
16	100	0
17	100	0
18	100	0
19	100	0
20	100	0
21	100	0
22	100	0
23	100	0
24	100	0
25	100	0
26	100	0
27	100	0
28	100	0
29	100	0
30	100	0
31	100	0
32	100	0
33	100	0
34	100	0
35	100	0
36	100	0
37	100	0
38	100	0
39	100	0
40	100	0
41	100	0
42	100	0
43	100	0
44	100	0
45	100	0
46	100	0
47	100	0
48	100	0
49	100	0
50	100	0
51	100	0
52	100	0
53	99	0
54	99	0
55	99	0
56	99	0
57	97	0
58	97	0
59	97	0
60	97	0
61	97	0
62	97	0
63	97	0
64	97	0
65	97	0
66	97	0
67	96	0
68	96	0
69	95	0
70	95	0
71	95	0
72	95	0
73	95	0
74	95	0
75	95	0
76	95	0
77	94	0
78	94	0
79	94	0
80	93	0
81	92	0
82	92	0
83	91	0
84	90	0
85	90	0
86	90	0
87	89	0
88	89	0
89	89	0
90	89	0
91	88	0
92	88	0
93	88	0
94	88	0
95	88	0
96	88	0
97	88	0
98	88	0
99	88	0
100	88	0
101	88	0
102	88	0
103	88	0
104	88	0
105	88	0
106	88	0
107	88	0
108	88	0
109	88	0
110	88	0
111	88	0
112	88	0
113	88	0
114	88	0
115	88	0
116	88	0
117	88	0
118	88	0
119	88	0
120	88	0
121	88	0
122	87	0
123	86	0
124	85	0
125	85	0
126	84	0
127	84	0
128	84	0
129	84	0
130	83	0
131	83	0
132	83	0
133	83	0
134	83	0
135	83	0
136	82	0
137	82	0
138	82	0
139	82	0
140	82	0
141	82	0
142	81	0
143	81	0
144	81	0
145	81	0
146	81	0
147	81	0
148	81	0
149	81	0
150	81	0
151	80	0
152	80	0
153	80	0
154	80	0
155	80	0
156	80	0
157	79	0
158	79	0
159	79	0
160	79	0
161	79	0
162	79	0
163	79	0
164	79	0
165	79	0
166	79	0
167	79	0
168	79	0
169	79	0
170	79	0
171	78	0
172	78	0
173	78	0
174	78	0
175	78	0
176	78	0
177	78	0
178	78	0
179	78	0
180	78	0
181	78	0
182	78	0
183	78	0
184	78	0
185	77	0
186	77	0
187	77	0
188	77	0
189	77	0
190	75	0
191	75	0
192	75	0
193	75	0
194	75	0
195	75	0
196	75	0
197	75	0
198	74	0
199	74	0
200	74	0
201	74	0
202	74	0
203	74	0
204	73	0
205	73	0
206	73	0
207	72	0
208	72	0
209	71	0
210	71	0
211	71	0
212	71	0
213	71	0
214	70	0
215	70	0
216	70	0
217	70	0
218	70	0
219	70	0
220	70	0
221	70	0
222	70	0
223	70	0
224	70	0
225	70	0
226	69	0
227	69	0
228	68	0
229	68	0
230	68	0
231	68	0
232	68	0
233	68	0
234	68	0
235	68	0
236	67	0
237	67	0
238	67	0
239	67	0
240	67	0
241	67	0
242	66	0
243	65	0
244	65	0
245	64	0
246	64	0
247	64	0
248	63	0
249	63	0
250	62	0
251	61	0
252	60	0
253	59	0
254	59	0
255	59	0
256	59	0
257	59	0
258	59	0
259	59	0
260	59	0
261	59	0
262	57	0
263	57	0
264	56	0
265	55	0
266	55	0
267	55	0
268	54	0
269	53	0
270	52	0
271	52	0
272	52	0
273	51	0
274	51	0
275	51	0
276	51	0
277	51	0
278	51	0
279	51	0
280	51	0
281	51	0
282	51	0
283	51	0
284	50	0
285	49	0
286	49	0
287	48	0
288	48	0
289	48	0
290	48	0
291	47	0
292	47	0
293	47	0
294	47	0
295	47	0
296	47	0
297	47	0
298	47	0
299	47	0
300	47	0
301	47	0
302	47	0
303	46	0
304	46	0
305	45	0
306	45	0
307	44	0
308	44	0
309	44	0
310	44	0
311	44	0
312	44	0
313	44	0
314	44	0
315	44	0
316	44	0
317	44	0
318	44	0
319	43	0
320	43	0
321	42	0
322	41	0
323	41	0
324	41	0
325	41	0
326	41	0
327	41	0
328	41	0
329	41	0
330	41	0
331	41	0
332	41	0
333	41	0
334	41	0
335	41	0
336	41	0
337	40	0
338	39	0
339	39	0
340	39	0
341	39	0
342	39	0
343	39	0
344	39	0
345	39	0
346	39	0
347	39	0
348	39	0
349	39	0
350	39	0
351	39	0
352	38	0
353	38	0
354	38	0
355	38	0
356	37	0
357	36	0
358	36	0
359	36	0
360	36	0
361	36	0
362	36	0
363	35	0
364	35	0
365	35	0
366	34	0
367	34	0
368	34	0
369	34	0
370	33	0
371	33	0
372	33	0
373	33	0
374	33	0
375	33	0
376	33	0
377	33	0
378	33	0
379	33	0
380	33	0
381	33	0
382	33	0
383	33	0
384	33	0
385	33	0
386	33	0
387	33	0
388	32	0
389	32	0
390	31	0
391	31	0
392	31	0
393	31	0
394	31	0
395	31	0
396	31	0
397	31	0
398	31	0
399	30	0
400	30	30
401	30	30
402	30	30
403	30	30
404	30	30
405	30	30
406	30	30
407	30	30
408	30	30
409	30	30
410	30	30
411	30	30
412	30	30
413	30	30
414	30	30
415	30	30
416	30	30
417	29	29
418	29	29
419	29	29
420	29	29
421	28	28
422	28	28
423	27	27
424	27	27
425	27	27
426	27	27
427	27	27
428	27	27
429	27	27
430	26	26
431	26	26
432	26	26
433	26	26
434	26	26
435	26	26
436	26	26
437	26	26
438	25	25
439	25	25
440	25	25
441	25	25
442	25	25
443	25	25
444	25	25
445	24	24
446	24	24
447	22	22
448	22	22
449	22	22
450	20	20
451	20	20
452	20	20
453	20	20
454	20	20
455	20	20
456	20	20
457	20	20
458	20	20
459	20	20
460	20	20
461	20	20
462	20	20
463	20	20
464	20	20
465	20	20
466	20	20
467	20	20
468	20	20
469	19	19
470	18	18
471	17	17
472	17	17
473	17	17
474	17	17
475	17	17
476	17	17
477	17	17
478	17	17
479	17	17
480	17	17
481	17	17
482	17	17
483	17	17
484	17	17
485	17	17
486	17	17
487	16	16
488	16	16
489	16	16
490	16	16
491	16	16
492	16	16
493	16	16
494	16	16
495	16	16
496	16	16
497	16	16
498	16	16
499	16	16
500	16	16
501	17	15
502	17	16
503	17	16
504	17	16
505	17	16
506	17	16
507	17	16
508	17	16
509	17	16
510	17	16
511	17	16
512	17	16
513	18	15
514	18	16
515	18	16
516	18	16
517	18	16
518	17	15
519	16	14
520	16	14
521	16	14
522	16	14
523	16	14
524	16	14
525	16	14
526	16	14
527	17	13
528	17	14
529	17	14
530	17	14
531	17	14
532	17	14
533	17	14
534	17	14
535	17	14
536	17	14
537	17	14
538	17	14
539	16	13
540	16	13
541	16	13
542	16	13
543	16	13
544	16	13
545	14	11
546	14	11
547	14	11
548	13	10
549	13	10
550	13	10
551	13	10
552	13	10
553	12	9
554	12	9
555	10	7
556	10	7
557	10	7
558	10	7
559	10	7
560	10	7
561	10	7
562	10	7
563	9	6
564	9	6
565	9	6
566	9	6
567	9	6
568	8	5
569	8	5
570	8	5
571	8	5
572	8	5
573	8	5
574	8	5
575	8	5
576	8	5
577	8	5
578	8	5
579	8	5
580	8	5
581	8	5
582	8	5
583	8	5
584	7	4
585	7	4
586	7	4
587	7	4
588	7	4
589	7	4
590	7	4
591	7	4
592	7	4
593	7	4
594	7	4
595	7	4
596	7	4
597	7	4
598	6	3
599	6	3
600	6	3
601	6	3
602	6	3
603	6	3
604	6	3
605	6	3
606	6	3
607	6	3
608	6	3
609	6	3
610	6	3
611	6	3
612	5	3
613	5	3
614	5	3
615	5	3
616	5	3
617	5	3
618	5	3
619	5	3
620	5	3
621	5	3
622	5	3
623	5	3
624	5	3
625	5	3
626	5	3
627	6	2
628	6	3
629	6	3
630	6	3
631	6	3
632	6	3
633	6	3
634	6	3
635	6	3
636	6	3
637	6	3
638	6	3
639	6	3
640	6	3
641	6	3
642	6	3
643	5	2
644	5	2
645	5	2
646	5	2
647	5	2
648	5	2
649	5	2
650	5	2
651	5	2
652	5	2
653	5	2
654	5	2
655	6	1
656	6	2
657	6	2
658	6	2
659	6	2
660	6	2
661	6	2
662	6	2
663	6	2
664	6	2
665	6	2
666	6	2
667	6	2
668	6	2
669	6	2
670	6	2
671	6	2
672	6	2
673	6	2
674	6	2
675	6	2
676	5	1
677	5	1
678	5	1
679	5	1
680	5	1
681	5	1
682	5	1
683	5	1
684	5	1
685	5	1
686	5	1
687	5	1
688	5	1
689	5	1
690	5	1
691	5	1
692	5	1
693	5	1
694	5	1
695	5	1
696	5	1
697	5	1
698	5	1
699	5	1
700	5	1
701	5	1
702	5	1
703	5	1
704	5	1
705	5	1
706	5	1
707	5	1
708	5	1
709	5	1
710	5	1
711	5	1
712	5	1
713	5	1
714	5	1
715	5	1
716	5	1
717	5	1
718	5	1
719	5	1
720	5	1
721	5	1
722	5	1
723	5	1
724	5	1
725	5	1
726	5	1
727	5	1
728	5	1
729	5	1
730	5	1
731	5	1
732	5	1
733	5	1
734	5	1
735	5	1
736	5	1
737	5	1
738	4	1
739	4	1
740	4	1
741	4	1
742	4	1
743	4	1
744	4	1
745	4	1
746	4	1
747	4	1
748	4	1
749	4	1
750	4	1
751	4	1
752	4	1
753	4	1
754	4	1
755	4	1
756	3	0
757	3	0
758	3	0
759	3	0
760	3	0
761	3	0
762	3	0
763	3	0
764	3	0
765	3	0
766	3	0
767	3	0
768	3	0
769	3	0
770	3	0
771	3	0
772	3	0
773	3	0
774	3	0
775	3	0
776	3	0
777	3	0
778	3	0
779	3	0
780	3	0
781	3	0
782	3	0
783	3	0
784	3	0
785	3	0
786	3	0
787	3	0
788	3	0
789	3	0
790	3	0
791	3	0
792	3	0
793	3	0
794	3	0
795	3	0
796	3	0
797	3	0
798	3	0
799	3	0
800	3	0
801	3	0
802	3	0
803	3	0
804	3	0
805	3	0
806	3	0
807	3	0
808	3	0
809	3	0
810	3	0
811	3	0
812	3	0
813	3	0
814	3	0
815	3	0
816	3	0
817	3	0
818	3	0
819	3	0
820	3	0
821	3	0
822	3	0
823	3	0
824	3	0
825	3	0
826	3	0
827	3	0
828	3	0
829	3	0
830	3	0
831	3	0
832	3	0
833	3	0
834	3	0
835	3	0
836	3	0
837	3	0
838	3	0
839	3	0
840	3	0
841	3	0
842	3	0
843	3	0
844	3	0
845	3	0
846	3	0
847	3	0
848	3	0
849	3	0
850	3	0
851	3	0
852	3	0
853	3	0
854	3	0
855	3	0
856	3	0
857	3	0
858	3	0
859	3	0
860	3	0
861	3	0
862	3	0
863	3	0
864	3	0
865	3	0
866	3	0
867	3	0
868	3	0
869	3	0
870	3	0
871	3	0
872	3	0
873	3	0
874	3	0
875	3	0
876	3	0
877	3	0
878	3	0
879	3	0
880	3	0
881	3	0
882	3	0
883	3	0
884	3	0
885	3	0
886	3	0
887	3	0
888	3	0
889	3	0
890	3	0
891	3	0
892	3	0
893	3	0
894	3	0
895	3	0
896	3	0
897	3	0
898	3	0
899	3	0
900	3	0
901	3	0
902	3	1
903	3	1
904	3	1
905	3	1
906	3	1
907	3	1
908	2	1
909	2	1
910	2	1
911	2	1
912	2	1
913	2	1
914	2	1
915	2	1
916	2	1
917	2	1
918	2	1
919	2	1
920	2	1
921	2	1
922	2	1
923	2	1
924	2	1
925	2	1
926	2	1
927	2	1
928	2	1
929	2	1
930	2	1
931	2	1
932	2	1
933	2	1
934	2	1
935	2	1
936	2	1
937	2	1
938	2	1
939	2	1
940	2	1
941	2	1
942	2	1
943	2	1
944	2	1
945	2	1
946	2	1
947	2	1
948	2	1
949	2	1
950	2	1
951	2	1
952	2	1
953	2	1
954	2	1
955	2	1
956	2	1
957	2	1
958	2	1
959	2	1
960	2	1
961	2	1
962	2	1
963	2	1
964	2	1
965	2	1
966	2	1
967	2	1
968	2	1
969	2	1
970	2	1
971	2	1
972	2	1
973	2	1
974	2	1
975	2	1
976	2	1
977	2	1
978	2	1
979	2	1
980	2	1
981	2	1
982	2	1
983	2	1
984	2	1
985	2	1
986	2	1
987	2	1
988	2	1
989	2	1
990	2	1
991	2	1
992	2	1
993	2	1
994	2	1
995	2	1
996	2	1
997	2	1
998	2	1
999	2	1
1000	2	1
1001	2	1
1002	2	1
1003	3	0
1004	3	1
1005	3	1
1006	3	1
1007	3	1
1008	3	1
1009	3	1
1010	3	1
1011	3	1
1012	3	1
1013	3	1
1014	3	1
1015	3	1
1016	3	1
1017	3	1
1018	3	1
1019	3	1
