AgentID	Genome
Mouse_1	[ 0.13  0.    0.93  0.67  0.26]
Mouse_10	[ 0.03  0.22  0.3   0.89  0.16]
Mouse_100	[ 0.11  0.26  0.05  0.67  0.76]
Mouse_104	[ 0.02  0.07  0.82  0.21  0.78]
Mouse_11	[ 0.68  0.92  0.84  0.49  0.78]
Mouse_114	[ 0.45  0.14  0.93  0.61  0.52]
Mouse_12	[ 0.81  0.89  0.64  0.65  0.44]
Mouse_125	[ 0.04  0.    0.54  0.8   0.18]
Mouse_13	[ 0.45  0.14  0.93  0.61  0.52]
Mouse_132	[ 0.02  0.07  0.82  0.21  0.78]
Mouse_133	[ 0.35  0.14  0.93  0.61  0.52]
Mouse_136	[ 0.04  0.01  0.54  0.8   0.08]
Mouse_138	[ 0.45  0.14  0.93  0.61  0.52]
Mouse_139	[ 0.35  0.14  0.93  0.61  0.52]
Mouse_14	[ 0.44  0.85  0.9   0.72  0.72]
Mouse_141	[ 0.04  0.01  0.54  0.8   0.18]
Mouse_142	[ 0.04  0.01  0.54  0.9   0.18]
Mouse_143	[ 0.14  0.01  0.54  0.8   0.18]
Mouse_145	[ 0.04  0.01  0.44  0.8   0.28]
Mouse_146	[ 0.04  0.01  0.54  0.9   0.18]
Mouse_147	[ 0.04  0.01  0.54  0.8   0.18]
Mouse_149	[ 0.04  0.01  0.54  0.9   0.18]
Mouse_15	[ 0.86  0.42  0.26  0.37  0.22]
Mouse_151	[ 0.04  0.01  0.54  0.8   0.28]
Mouse_152	[ 0.04  0.01  0.44  0.8   0.28]
Mouse_153	[ 0.04  0.01  0.44  0.8   0.28]
Mouse_16	[ 0.05  0.46  0.95  0.33  0.99]
Mouse_17	[ 0.72  0.22  0.73  0.69  0.31]
Mouse_18	[ 0.87  0.66  0.12  0.22  0.26]
Mouse_19	[ 0.18  0.17  0.98  0.3   0.29]
Mouse_2	[ 0.36  0.27  0.64  0.49  0.72]
Mouse_20	[ 0.37  0.07  0.84  0.69  0.99]
Mouse_21	[ 0.71  0.79  0.75  0.53  0.11]
Mouse_22	[ 0.92  0.48  0.46  0.99  0.46]
Mouse_23	[ 0.68  0.61  0.38  0.79  0.19]
Mouse_24	[ 0.04  0.01  0.54  0.8   0.18]
Mouse_25	[ 0.47  0.51  0.05  0.68  0.81]
Mouse_26	[ 0.51  0.97  0.74  0.77  0.38]
Mouse_27	[ 0.87  0.76  0.91  0.79  0.66]
Mouse_28	[ 0.13  0.    0.1   0.02  0.  ]
Mouse_29	[ 0.58  0.74  0.53  0.31  0.02]
Mouse_3	[ 0.96  0.41  0.24  0.41  0.26]
Mouse_30	[ 0.03  0.5   0.12  0.57  0.16]
Mouse_31	[ 0.82  0.87  0.91  0.12  0.1 ]
Mouse_32	[ 0.64  0.36  0.6   0.87  0.73]
Mouse_33	[ 0.81  0.05  0.98  0.48  0.09]
Mouse_34	[ 0.05  0.88  0.58  0.75  0.57]
Mouse_35	[ 0.36  0.34  0.71  0.16  0.73]
Mouse_36	[ 0.17  0.95  0.54  0.42  0.46]
Mouse_37	[ 0.56  0.65  0.19  0.18  0.29]
Mouse_38	[ 0.02  0.67  0.1   0.08  0.57]
Mouse_39	[ 0.68  0.57  0.8   0.25  0.7 ]
Mouse_4	[ 0.09  0.33  0.11  0.73  0.67]
Mouse_40	[ 0.81  0.36  0.11  0.21  0.6 ]
Mouse_41	[ 0.27  0.49  0.31  0.34  0.46]
Mouse_42	[ 0.37  0.54  0.51  0.81  0.86]
Mouse_43	[ 0.14  0.2   0.18  0.76  0.7 ]
Mouse_44	[ 0.39  0.42  0.96  0.86  0.39]
Mouse_45	[ 0.66  0.61  0.47  0.75  0.22]
Mouse_46	[ 0.91  0.39  0.41  0.44  0.36]
Mouse_47	[ 0.33  0.2   0.37  0.81  0.12]
Mouse_48	[ 0.18  0.98  0.4   0.34  0.85]
Mouse_49	[ 0.46  0.97  0.22  0.79  0.02]
Mouse_5	[ 0.76  0.95  0.63  0.89  0.32]
Mouse_50	[ 0.1   0.45  0.46  0.72  0.58]
Mouse_51	[ 0.98  0.39  0.09  0.93  0.65]
Mouse_52	[ 0.76  0.25  0.36  0.79  0.86]
Mouse_53	[ 0.49  0.74  0.81  0.46  0.  ]
Mouse_54	[ 0.27  0.95  0.78  0.2   0.9 ]
Mouse_55	[ 0.    0.49  0.38  0.86  0.93]
Mouse_56	[ 0.79  0.37  0.71  0.42  0.67]
Mouse_57	[ 0.59  0.28  0.46  0.71  0.12]
Mouse_58	[ 0.32  0.23  0.2   0.14  0.55]
Mouse_59	[ 0.06  0.08  0.91  0.84  0.21]
Mouse_6	[ 0.22  0.44  0.74  0.9   0.29]
Mouse_60	[ 0.28  0.6   0.34  0.83  0.25]
Mouse_61	[ 0.71  0.47  0.42  0.74  0.28]
Mouse_62	[ 0.3   0.34  0.23  0.98  0.96]
Mouse_63	[ 0.3   0.16  0.49  0.32  0.15]
Mouse_64	[ 0.58  0.95  0.99  0.93  0.29]
Mouse_65	[ 0.53  0.99  0.26  0.28  0.14]
Mouse_66	[ 0.28  0.05  0.68  0.74  0.21]
Mouse_67	[ 0.99  0.88  0.71  0.42  0.67]
Mouse_68	[ 0.98  0.09  0.73  0.8   0.37]
Mouse_69	[ 0.73  0.63  0.58  0.11  0.91]
Mouse_7	[ 0.81  0.79  0.29  0.44  0.69]
Mouse_70	[ 0.17  0.28  0.96  0.71  0.2 ]
Mouse_71	[ 0.67  0.32  0.24  0.8   0.49]
Mouse_72	[ 0.41  0.64  0.42  0.18  0.46]
Mouse_73	[ 0.94  0.17  0.61  0.13  0.62]
Mouse_74	[ 0.87  0.51  0.17  0.25  0.8 ]
Mouse_75	[ 0.54  0.8   0.86  0.99  0.97]
Mouse_76	[ 0.19  0.09  0.49  0.    0.65]
Mouse_77	[ 0.03  0.36  0.43  0.55  0.84]
Mouse_78	[ 0.36  0.81  0.04  0.84  0.85]
Mouse_79	[ 0.41  0.43  0.95  0.09  0.39]
Mouse_8	[ 0.45  0.9   0.25  0.13  0.53]
Mouse_80	[ 0.97  0.37  0.27  0.92  0.91]
Mouse_81	[ 0.65  0.26  0.97  0.87  0.89]
Mouse_82	[ 0.34  0.26  0.99  0.42  0.11]
Mouse_83	[ 0.2   0.41  0.03  0.48  0.66]
Mouse_84	[ 0.35  0.12  0.85  0.9   0.49]
Mouse_85	[ 0.92  0.57  0.37  0.24  0.44]
Mouse_86	[ 0.97  0.56  0.43  0.67  0.14]
Mouse_87	[ 0.05  0.98  0.48  0.59  0.79]
Mouse_88	[ 0.27  0.3   0.29  0.6   0.77]
Mouse_89	[ 0.66  0.63  0.61  0.99  0.31]
Mouse_9	[ 0.23  0.6   0.64  0.19  0.07]
Mouse_90	[ 0.02  0.07  0.82  0.21  0.78]
Mouse_91	[ 0.64  0.91  0.29  0.54  0.54]
Mouse_92	[ 0.88  0.97  0.2   0.53  0.07]
Mouse_93	[ 0.86  0.93  0.78  0.55  0.64]
Mouse_94	[ 0.27  0.78  0.45  0.91  0.63]
Mouse_95	[ 0.87  0.88  0.97  0.7   0.61]
Mouse_96	[ 0.52  0.36  0.75  0.71  0.33]
Mouse_97	[ 0.83  0.46  0.81  0.56  0.08]
Mouse_98	[ 0.97  0.51  0.02  0.59  0.05]
Mouse_99	[ 0.29  0.55  0.45  0.09  0.62]
