AgentID	Genome
Mouse_1	[ 0.04  0.77  1.    0.55  0.14]
Mouse_10	[ 0.41  0.51  0.81  0.54  0.07]
Mouse_100	[ 0.47  0.14  0.61  0.46  0.42]
Mouse_11	[ 0.11  0.25  0.04  0.04  0.08]
Mouse_12	[ 0.64  0.25  0.83  0.1   0.72]
Mouse_13	[ 0.81  0.46  0.68  0.22  0.94]
Mouse_14	[ 0.85  0.08  0.38  0.8   0.62]
Mouse_15	[ 0.3   0.64  0.49  0.57  0.87]
Mouse_16	[ 0.83  0.93  0.12  0.86  0.7 ]
Mouse_17	[ 0.76  0.27  0.67  0.61  0.62]
Mouse_18	[ 0.54  0.89  0.79  0.63  0.04]
Mouse_19	[ 0.36  0.31  0.02  0.21  0.09]
Mouse_2	[ 0.1   0.11  0.79  0.97  0.72]
Mouse_20	[ 0.43  0.54  0.17  0.8   0.5 ]
Mouse_21	[ 0.71  0.04  0.45  0.06  0.6 ]
Mouse_22	[ 0.22  0.01  0.85  0.67  0.05]
Mouse_23	[ 0.29  0.71  0.79  0.87  0.84]
Mouse_24	[ 0.6   0.1   0.16  0.77  0.89]
Mouse_25	[ 0.08  0.55  0.81  0.08  0.38]
Mouse_26	[ 0.38  0.83  0.52  0.22  0.89]
Mouse_27	[ 0.37  0.95  0.41  0.09  0.6 ]
Mouse_28	[ 0.34  0.75  0.81  0.69  0.18]
Mouse_29	[ 0.6   0.93  0.31  0.3   0.48]
Mouse_3	[ 0.36  0.24  0.78  0.02  0.82]
Mouse_30	[ 0.4   0.2   0.04  0.85  0.89]
Mouse_31	[ 0.38  0.33  0.49  0.5   0.68]
Mouse_32	[ 0.33  0.04  0.1   0.66  0.59]
Mouse_33	[ 0.73  0.92  0.97  0.73  0.98]
Mouse_34	[ 0.89  0.82  0.96  0.72  0.62]
Mouse_35	[ 0.65  0.97  0.41  0.19  0.53]
Mouse_36	[ 0.17  0.02  0.44  0.6   0.85]
Mouse_37	[ 0.86  0.92  0.55  0.33  0.84]
Mouse_38	[ 0.81  0.94  0.2   0.35  0.56]
Mouse_39	[ 0.08  0.24  0.6   0.92  0.02]
Mouse_4	[ 0.94  0.54  0.15  0.29  0.45]
Mouse_40	[ 0.86  0.48  0.71  0.79  0.61]
Mouse_41	[ 0.25  0.71  0.47  0.02  0.52]
Mouse_42	[ 0.32  0.32  0.79  0.35  0.21]
Mouse_43	[ 0.17  0.46  0.74  0.82  0.25]
Mouse_44	[ 0.03  0.63  0.97  0.53  0.73]
Mouse_45	[ 0.24  0.14  0.01  0.43  0.66]
Mouse_46	[ 0.19  0.2   0.86  0.68  0.04]
Mouse_47	[ 0.93  0.62  0.84  0.72  0.97]
Mouse_48	[ 0.15  0.65  0.8   1.    0.42]
Mouse_49	[ 0.04  0.8   0.59  0.12  0.5 ]
Mouse_5	[ 0.95  0.21  0.65  0.55  0.04]
Mouse_50	[ 0.09  0.9   0.75  0.79  0.6 ]
Mouse_51	[ 0.76  0.49  0.38  0.4   0.29]
Mouse_52	[ 0.1   0.31  0.44  0.71  0.93]
Mouse_53	[ 0.89  0.2   0.73  0.27  0.76]
Mouse_54	[ 0.51  0.64  0.01  0.81  0.07]
Mouse_55	[ 0.22  0.91  0.12  0.99  0.86]
Mouse_56	[ 0.05  0.66  0.08  0.55  0.33]
Mouse_57	[ 0.59  0.8   0.19  0.69  0.6 ]
Mouse_58	[ 0.82  0.6   0.33  0.17  0.23]
Mouse_59	[ 0.68  0.19  0.51  0.62  0.33]
Mouse_6	[ 0.73  0.55  0.2   0.19  0.07]
Mouse_60	[ 0.54  0.27  0.84  0.12  0.24]
Mouse_61	[ 0.05  0.92  0.29  1.    0.4 ]
Mouse_62	[ 0.29  0.48  0.05  0.85  0.09]
Mouse_63	[ 0.77  0.67  0.17  0.05  0.54]
Mouse_64	[ 0.65  0.52  0.33  0.35  0.34]
Mouse_65	[ 0.08  0.07  0.32  0.54  0.48]
Mouse_66	[ 0.14  0.18  0.54  0.14  0.28]
Mouse_67	[ 0.65  0.24  0.89  0.79  0.22]
Mouse_68	[ 0.9   0.43  0.23  0.93  0.71]
Mouse_69	[ 0.94  0.6   0.66  0.27  0.35]
Mouse_7	[ 0.49  0.17  0.66  0.31  0.63]
Mouse_70	[ 0.85  0.55  0.18  1.    0.08]
Mouse_71	[ 0.43  0.29  0.48  0.61  0.77]
Mouse_72	[ 0.37  0.52  0.92  0.69  0.4 ]
Mouse_73	[ 0.35  0.88  0.92  0.06  0.31]
Mouse_74	[ 0.21  0.96  0.52  0.53  0.39]
Mouse_75	[ 0.42  0.58  0.36  0.05  0.18]
Mouse_76	[ 0.31  0.63  0.9   0.36  0.4 ]
Mouse_77	[ 0.05  0.64  0.38  0.58  0.83]
Mouse_78	[ 0.44  0.38  0.65  0.56  0.5 ]
Mouse_79	[ 0.3   0.79  0.58  0.05  0.63]
Mouse_8	[ 0.41  0.82  0.16  0.6   0.03]
Mouse_80	[ 0.67  0.38  0.46  0.81  0.42]
Mouse_81	[ 0.65  0.38  0.68  0.05  0.35]
Mouse_82	[ 0.64  0.12  0.63  0.83  0.63]
Mouse_83	[ 0.25  0.29  0.62  0.9   0.64]
Mouse_84	[ 0.38  0.    0.57  0.12  0.48]
Mouse_85	[ 0.43  0.58  0.98  0.33  0.51]
Mouse_86	[ 0.8   0.09  0.75  0.5   0.48]
Mouse_87	[ 0.17  0.78  0.12  0.16  0.29]
Mouse_88	[ 0.74  0.28  0.17  0.04  0.15]
Mouse_89	[ 0.78  0.84  0.12  0.59  0.09]
Mouse_9	[ 0.71  0.99  0.32  0.61  0.73]
Mouse_90	[ 0.74  0.21  0.4   0.74  0.73]
Mouse_91	[ 0.    0.26  0.77  0.36  0.93]
Mouse_92	[ 0.82  0.83  0.23  0.28  0.1 ]
Mouse_93	[ 0.21  0.3   0.87  0.41  0.57]
Mouse_94	[ 0.2   0.62  0.38  0.46  0.6 ]
