AgentID	Genome
Mouse_1	[ 0.34  0.61  0.93  0.87  0.05]
Mouse_10	[ 0.16  0.57  0.84  0.16  0.51]
Mouse_100	[ 0.82  0.94  0.18  0.36  0.99]
Mouse_11	[ 0.68  0.31  0.16  0.03  0.85]
Mouse_114	[ 0.59  0.58  0.66  0.51  0.03]
Mouse_115	[ 0.41  0.8   0.02  0.36  0.45]
Mouse_12	[ 0.94  0.49  0.24  0.49  1.  ]
Mouse_127	[ 0.42  0.3   0.29  0.14  0.82]
Mouse_13	[ 0.44  0.17  0.75  0.79  0.12]
Mouse_138	[ 0.25  0.16  0.45  0.04  0.61]
Mouse_14	[ 0.65  0.95  0.31  0.18  0.89]
Mouse_144	[ 0.44  0.6   0.76  0.78  0.41]
Mouse_149	[ 0.16  0.47  0.94  0.16  0.51]
Mouse_15	[ 0.9   0.6   0.12  0.4   0.25]
Mouse_152	[ 0.57  0.41  0.55  0.44  0.16]
Mouse_16	[ 0.57  0.41  0.55  0.44  0.16]
Mouse_161	[ 0.12  0.23  0.85  0.98  0.94]
Mouse_162	[ 0.58  0.22  0.23  0.19  0.04]
Mouse_165	[ 0.17  0.46  0.69  0.    0.72]
Mouse_17	[ 0.86  0.6   0.06  0.66  0.74]
Mouse_174	[ 0.12  0.23  0.85  1.    0.94]
Mouse_179	[ 0.16  0.57  0.84  0.16  0.51]
Mouse_18	[ 0.96  0.15  0.78  0.58  0.63]
Mouse_183	[ 0.68  0.12  0.23  0.29  0.04]
Mouse_184	[ 0.35  0.16  0.45  0.04  0.61]
Mouse_185	[ 0.12  0.23  0.85  0.98  0.94]
Mouse_187	[ 0.59  0.48  0.76  0.51  0.  ]
Mouse_188	[ 0.26  0.47  0.84  0.16  0.51]
Mouse_189	[ 0.44  0.6   0.76  0.78  0.41]
Mouse_19	[ 0.61  0.33  0.29  0.69  0.  ]
Mouse_194	[ 0.12  0.23  0.95  1.    0.94]
Mouse_195	[ 0.12  0.23  0.85  0.98  0.94]
Mouse_199	[ 0.12  0.23  0.85  1.    0.94]
Mouse_2	[ 0.6   1.    0.15  0.74  0.88]
Mouse_20	[ 0.37  0.76  0.02  0.69  0.19]
Mouse_21	[ 1.    0.69  0.22  0.87  0.15]
Mouse_22	[ 0.07  0.36  0.79  0.    0.72]
Mouse_23	[ 0.04  0.12  0.56  0.77  0.77]
Mouse_24	[ 0.32  0.3   0.29  0.14  0.82]
Mouse_25	[ 0.15  0.08  0.27  0.22  0.24]
Mouse_26	[ 0.63  0.03  0.91  0.44  0.51]
Mouse_27	[ 0.42  0.09  0.42  0.02  0.63]
Mouse_28	[ 0.96  0.28  0.67  0.34  0.36]
Mouse_29	[ 0.88  0.65  0.98  0.11  0.51]
Mouse_3	[ 0.52  0.1   0.24  0.73  0.44]
Mouse_30	[ 0.03  0.29  0.4   0.54  0.08]
Mouse_31	[ 0.59  0.52  0.23  0.71  0.43]
Mouse_32	[ 0.49  0.48  0.66  0.41  0.03]
Mouse_33	[ 0.98  0.39  0.34  0.25  0.19]
Mouse_34	[ 0.44  0.6   0.76  0.78  0.41]
Mouse_35	[ 0.53  0.45  0.63  0.85  0.23]
Mouse_36	[ 0.78  0.43  0.82  0.9   0.63]
Mouse_37	[ 0.12  0.23  0.85  1.    0.94]
Mouse_38	[ 0.62  0.8   1.    0.03  0.47]
Mouse_39	[ 0.02  0.81  0.93  0.13  0.43]
Mouse_4	[ 0.55  0.77  0.52  0.8   0.09]
Mouse_40	[ 0.66  0.62  0.42  0.65  0.61]
Mouse_41	[ 0.06  0.51  0.18  0.12  0.16]
Mouse_42	[ 0.09  0.3   0.6   0.01  0.13]
Mouse_43	[ 0.89  0.87  0.65  0.62  0.61]
Mouse_44	[ 0.04  0.13  0.95  0.04  0.4 ]
Mouse_45	[ 0.14  0.89  0.05  0.25  0.16]
Mouse_46	[ 0.77  0.45  0.38  0.11  0.69]
Mouse_47	[ 0.57  0.77  0.07  0.73  0.33]
Mouse_48	[ 0.78  0.07  0.04  0.54  0.45]
Mouse_49	[ 0.64  0.04  0.39  0.35  0.35]
Mouse_5	[ 0.28  0.87  0.89  0.11  0.32]
Mouse_50	[ 0.95  0.4   0.6   0.04  0.54]
Mouse_51	[ 0.25  0.16  0.45  0.14  0.61]
Mouse_52	[ 0.37  0.34  0.57  0.92  0.22]
Mouse_53	[ 0.54  0.93  0.96  0.8   0.34]
Mouse_54	[ 0.26  0.62  0.92  0.74  0.21]
Mouse_55	[ 0.79  0.3   0.85  1.    0.29]
Mouse_56	[ 0.11  0.86  0.02  0.64  0.61]
Mouse_57	[ 0.71  0.45  0.77  0.23  0.68]
Mouse_58	[ 0.17  0.83  0.75  0.97  0.23]
Mouse_59	[ 0.44  0.82  0.44  0.24  0.  ]
Mouse_6	[ 0.76  0.1   0.48  1.    0.43]
Mouse_60	[ 0.06  0.27  0.59  0.39  0.9 ]
Mouse_61	[ 0.41  0.66  0.36  0.39  0.37]
Mouse_62	[ 0.24  0.78  0.71  0.93  0.23]
Mouse_63	[ 0.89  0.71  0.94  0.45  0.  ]
Mouse_64	[ 0.51  0.34  0.12  0.18  0.29]
Mouse_65	[ 0.48  0.05  0.05  0.25  0.61]
Mouse_66	[ 0.01  0.72  0.69  0.45  0.9 ]
Mouse_67	[ 0.84  0.64  0.65  0.62  0.63]
Mouse_68	[ 0.67  0.66  0.3   0.99  0.93]
Mouse_69	[ 0.87  0.91  0.19  0.28  0.01]
Mouse_7	[ 0.91  0.36  0.95  0.46  0.42]
Mouse_70	[ 0.54  0.46  0.38  1.    0.36]
Mouse_71	[ 0.67  0.1   0.5   0.45  0.84]
Mouse_72	[ 0.91  0.95  0.72  0.34  0.66]
Mouse_73	[ 0.97  0.4   0.16  0.21  0.04]
Mouse_74	[ 0.96  0.14  0.8   0.14  0.85]
Mouse_75	[ 0.6   0.46  0.91  0.03  0.57]
