AgentID	Genome
Mouse_1	[ 0.56  0.94  0.61  0.61  0.27]
Mouse_10	[ 0.22  0.28  0.02  0.82  0.41]
Mouse_100	[ 0.72  0.16  0.04  0.8   0.95]
Mouse_109	[ 0.44  0.14  0.76  0.99  0.6 ]
Mouse_11	[ 0.28  0.38  0.03  0.99  0.16]
Mouse_12	[ 0.45  0.17  0.04  1.    0.08]
Mouse_120	[ 0.45  0.17  0.04  1.    0.08]
Mouse_122	[ 0.65  0.07  0.48  0.09  0.04]
Mouse_129	[ 0.79  0.11  0.11  0.06  0.52]
Mouse_13	[ 0.79  0.11  0.11  0.06  0.62]
Mouse_130	[ 0.56  0.14  0.29  0.    0.88]
Mouse_131	[ 0.53  0.27  0.98  0.71  0.29]
Mouse_132	[ 0.46  0.23  0.18  0.44  0.17]
Mouse_134	[ 0.28  1.    0.16  0.38  0.74]
Mouse_137	[ 0.79  0.11  0.11  0.06  0.52]
Mouse_14	[ 0.28  1.    0.16  0.48  0.74]
Mouse_15	[ 0.51  0.97  0.67  0.89  0.25]
Mouse_16	[ 0.28  0.05  0.37  0.2   0.91]
Mouse_17	[ 0.98  0.36  0.74  0.17  0.69]
Mouse_18	[ 0.44  0.18  0.53  0.85  0.95]
Mouse_19	[ 0.81  0.87  0.34  0.6   0.1 ]
Mouse_2	[ 0.61  0.57  0.91  0.7   0.24]
Mouse_20	[ 0.    0.24  0.5   0.24  0.53]
Mouse_21	[ 0.02  0.27  0.39  0.94  0.82]
Mouse_22	[ 0.74  0.98  0.88  0.62  0.23]
Mouse_23	[ 0.85  0.42  0.16  0.7   0.25]
Mouse_24	[ 0.38  0.14  0.73  0.65  0.73]
Mouse_25	[ 0.01  0.77  0.07  0.16  0.75]
Mouse_26	[ 0.19  0.26  0.44  0.61  0.35]
Mouse_27	[ 0.94  0.57  0.53  0.97  0.86]
Mouse_28	[ 0.71  0.7   0.76  0.73  0.73]
Mouse_29	[ 0.13  0.39  0.97  0.31  0.82]
