AgentID	Genome
Mouse_1	[ 0.66  0.85  0.85  0.29  0.45]
Mouse_10	[ 0.58  0.56  0.67  0.73  0.73]
Mouse_100	[ 0.55  0.83  0.    0.16  1.  ]
Mouse_101	[ 0.49  0.05  0.73  0.35  0.97]
Mouse_102	[ 0.89  0.05  0.22  0.82  0.  ]
Mouse_103	[ 0.08  0.43  0.61  0.17  0.48]
Mouse_104	[ 0.02  0.02  0.74  0.28  0.63]
Mouse_105	[ 0.38  0.42  0.73  0.55  0.98]
Mouse_106	[ 0.87  0.22  0.25  0.44  0.54]
Mouse_107	[ 0.69  1.    0.84  0.3   0.56]
Mouse_108	[ 0.01  0.08  0.56  0.13  0.83]
Mouse_109	[ 0.23  0.02  0.64  0.54  0.61]
Mouse_11	[ 0.46  0.84  0.31  0.58  0.53]
Mouse_110	[ 0.97  0.25  0.05  0.76  0.17]
Mouse_111	[ 0.42  0.77  0.2   0.98  0.07]
Mouse_112	[ 0.34  0.96  0.15  0.18  0.92]
Mouse_113	[ 0.56  0.18  0.24  0.41  0.89]
Mouse_114	[ 0.85  0.42  0.19  0.9   0.05]
Mouse_115	[ 0.53  0.05  0.01  0.94  0.61]
Mouse_116	[ 0.84  0.56  0.97  0.15  0.78]
Mouse_117	[ 0.85  0.42  0.75  1.    0.72]
Mouse_118	[ 0.71  0.67  0.1   0.18  0.15]
Mouse_119	[ 0.38  0.53  0.45  0.13  0.32]
Mouse_12	[ 0.16  0.21  0.51  0.1   0.82]
Mouse_120	[ 0.29  0.28  0.64  0.53  0.38]
Mouse_121	[ 0.18  0.97  0.51  0.01  0.61]
Mouse_122	[ 0.8   0.12  0.93  0.5   0.83]
Mouse_123	[ 0.36  0.38  0.13  0.76  0.18]
Mouse_124	[ 0.68  0.26  0.22  0.75  0.92]
Mouse_125	[ 0.1   0.74  0.9   0.47  0.79]
Mouse_126	[ 0.33  0.89  0.32  0.9   0.31]
Mouse_127	[ 0.3   0.58  0.62  0.85  0.92]
Mouse_128	[ 0.58  0.87  0.4   0.31  0.42]
Mouse_129	[ 0.36  0.92  0.39  0.94  0.63]
Mouse_13	[ 0.31  0.64  0.11  0.58  0.44]
Mouse_130	[ 0.7   0.    0.8   0.72  0.52]
Mouse_131	[ 0.44  0.44  0.48  0.8   0.21]
Mouse_132	[ 0.41  0.1   0.82  0.    0.5 ]
Mouse_133	[ 0.11  0.3   0.04  1.    0.28]
Mouse_134	[ 0.08  0.68  0.66  0.24  0.85]
Mouse_135	[ 0.24  0.29  0.27  0.24  0.65]
Mouse_136	[ 0.68  0.65  0.26  0.37  0.26]
Mouse_137	[ 0.3   0.39  0.32  0.04  0.22]
Mouse_138	[ 0.8   0.52  0.28  0.33  0.64]
Mouse_139	[ 0.39  0.05  0.53  0.16  0.47]
Mouse_14	[ 0.47  0.76  0.05  0.46  0.48]
Mouse_140	[ 0.11  0.99  0.73  0.09  0.19]
Mouse_141	[ 0.53  0.93  0.15  0.91  0.61]
Mouse_142	[ 0.21  0.96  0.34  0.86  0.35]
Mouse_143	[ 0.28  0.99  0.06  0.96  0.65]
Mouse_144	[ 0.98  1.    0.71  0.85  0.59]
Mouse_145	[ 0.8   0.69  0.43  0.56  0.95]
Mouse_146	[ 0.95  0.72  0.7   0.22  0.3 ]
Mouse_147	[ 0.46  0.72  0.57  0.58  0.7 ]
Mouse_148	[ 0.22  0.17  0.    0.04  0.06]
Mouse_149	[ 0.88  0.23  0.43  0.43  0.52]
Mouse_15	[ 0.77  0.48  0.63  0.8   0.42]
Mouse_150	[ 0.22  0.74  0.89  0.49  0.02]
Mouse_151	[ 0.3   0.71  0.94  0.19  0.32]
Mouse_152	[ 0.06  0.26  1.    0.52  0.76]
Mouse_153	[ 0.91  0.12  0.28  0.53  0.1 ]
Mouse_154	[ 0.16  0.65  0.22  0.04  0.65]
Mouse_155	[ 0.4   0.33  0.19  0.69  0.89]
Mouse_156	[ 0.06  0.82  0.34  0.58  0.  ]
Mouse_157	[ 0.69  0.32  0.62  0.26  0.  ]
Mouse_158	[ 0.79  0.42  0.89  0.13  0.12]
Mouse_159	[ 0.88  0.69  0.93  0.66  0.36]
Mouse_16	[ 0.62  0.39  0.    0.44  0.87]
Mouse_160	[ 0.62  0.84  0.24  1.    0.95]
Mouse_161	[ 0.09  0.52  0.5   0.35  0.22]
Mouse_162	[ 0.96  0.25  0.67  0.74  0.84]
Mouse_163	[ 0.41  0.86  0.45  0.65  0.56]
Mouse_164	[ 0.6   0.29  0.59  0.63  0.09]
Mouse_165	[ 0.81  0.29  0.56  0.07  0.22]
Mouse_166	[ 0.39  0.98  0.64  0.32  0.82]
Mouse_167	[ 0.84  0.    0.93  0.96  0.07]
Mouse_168	[ 0.51  0.35  0.41  0.13  0.06]
Mouse_169	[ 0.31  0.19  0.55  0.82  0.18]
Mouse_17	[ 0.78  0.56  0.82  0.39  0.48]
Mouse_170	[ 0.45  0.56  0.55  0.04  0.44]
Mouse_171	[ 0.27  0.8   0.35  0.52  0.14]
Mouse_172	[ 0.29  0.06  0.61  0.    0.  ]
Mouse_173	[ 0.04  0.6   0.39  0.49  0.56]
Mouse_174	[ 0.16  0.56  1.    0.26  0.02]
Mouse_175	[ 0.09  0.13  0.44  0.88  0.7 ]
Mouse_176	[ 0.6   0.23  0.6   0.13  0.04]
Mouse_177	[ 0.61  0.7   0.6   0.79  0.84]
Mouse_178	[ 0.74  0.02  0.67  0.36  0.37]
Mouse_179	[ 0.5   0.21  0.14  0.15  0.49]
Mouse_18	[ 0.88  0.57  0.5   0.31  0.1 ]
Mouse_180	[ 0.18  0.35  0.52  0.75  0.87]
Mouse_181	[ 0.1   0.91  0.03  0.09  0.14]
Mouse_182	[ 0.39  0.89  0.61  0.53  0.16]
Mouse_183	[ 0.24  1.    0.52  0.24  0.65]
Mouse_184	[ 0.22  0.14  0.93  0.26  0.46]
Mouse_185	[ 0.42  0.29  0.16  0.75  0.74]
Mouse_186	[ 0.16  0.64  0.73  0.27  0.25]
Mouse_187	[ 0.75  0.66  0.8   0.71  0.19]
Mouse_188	[ 0.89  0.99  0.27  0.73  0.53]
Mouse_189	[ 0.    0.65  0.81  0.14  0.59]
Mouse_19	[ 0.41  0.49  0.48  0.84  0.33]
Mouse_190	[ 0.34  0.76  0.6   0.01  0.62]
Mouse_191	[ 0.92  0.97  0.56  0.83  0.83]
Mouse_192	[ 0.95  0.41  0.33  0.89  0.35]
Mouse_193	[ 0.44  0.96  0.88  0.44  0.99]
Mouse_194	[ 0.28  0.82  0.39  0.9   0.26]
Mouse_195	[ 0.    0.13  0.02  0.99  0.21]
Mouse_196	[ 0.12  0.83  0.32  0.69  0.35]
Mouse_197	[ 0.37  0.06  0.65  0.85  0.21]
Mouse_198	[ 0.83  0.24  0.18  0.11  0.75]
Mouse_199	[ 0.23  0.49  0.4   0.08  0.68]
Mouse_2	[ 0.83  0.11  0.16  0.67  0.53]
Mouse_20	[ 0.08  0.33  0.43  0.24  0.13]
Mouse_200	[ 0.13  0.99  0.93  0.15  0.39]
Mouse_203	[ 0.74  0.02  0.67  0.36  0.37]
Mouse_205	[ 0.4   0.05  0.41  0.11  0.28]
Mouse_21	[ 0.54  0.18  0.44  0.85  0.14]
Mouse_215	[ 0.53  0.05  0.11  0.94  0.71]
Mouse_219	[ 0.91  0.12  0.28  0.53  0.1 ]
Mouse_22	[ 0.96  0.34  0.36  0.72  0.16]
Mouse_224	[ 0.45  0.34  0.48  0.9   0.14]
Mouse_23	[ 0.67  0.97  0.08  0.32  0.83]
Mouse_232	[ 0.41  0.47  0.12  0.24  0.15]
Mouse_238	[ 0.06  0.9   0.45  0.34  0.86]
Mouse_24	[ 0.67  0.57  0.94  0.85  0.64]
Mouse_240	[ 0.93  0.01  0.15  0.33  0.57]
Mouse_241	[ 0.83  0.64  0.51  0.82  0.1 ]
Mouse_247	[ 0.24  0.29  0.27  0.24  0.65]
Mouse_25	[ 0.4   0.05  0.41  0.01  0.28]
Mouse_257	[ 0.08  0.68  0.66  0.24  0.85]
Mouse_259	[ 0.14  0.16  0.61  0.86  0.81]
Mouse_26	[ 0.06  0.9   0.45  0.34  0.86]
Mouse_262	[ 0.1   0.74  0.9   0.47  0.79]
Mouse_263	[ 0.42  0.29  0.16  0.75  0.64]
Mouse_268	[ 0.27  0.71  0.76  0.94  0.87]
Mouse_269	[ 0.86  0.51  0.27  0.35  0.72]
Mouse_27	[ 0.79  0.11  0.38  0.54  0.73]
Mouse_272	[ 0.22  0.17  0.    0.04  0.06]
Mouse_28	[ 0.93  0.59  0.99  0.67  0.55]
Mouse_288	[ 0.56  0.18  0.24  0.41  0.89]
Mouse_29	[ 0.9   0.89  0.35  0.14  0.3 ]
Mouse_290	[ 0.52  0.76  0.69  0.36  0.45]
Mouse_291	[ 0.89  0.05  0.22  0.72  0.09]
Mouse_292	[ 0.49  0.05  0.83  0.35  0.97]
Mouse_294	[ 0.21  0.3   0.04  0.95  0.28]
Mouse_296	[ 0.79  0.42  0.89  0.13  0.22]
Mouse_3	[ 0.93  0.64  0.51  0.82  0.2 ]
Mouse_30	[ 0.81  0.45  0.3   0.63  0.13]
Mouse_300	[ 0.22  0.24  0.93  0.26  0.46]
Mouse_305	[ 0.38  0.09  0.25  0.14  0.81]
Mouse_31	[ 0.72  0.23  0.44  0.28  0.33]
Mouse_313	[ 0.65  0.25  0.43  0.55  0.97]
Mouse_314	[ 0.86  0.11  0.83  0.9   0.08]
Mouse_315	[ 0.05  0.87  0.39  0.8   0.76]
Mouse_319	[ 0.37  0.27  0.36  0.18  0.19]
Mouse_32	[ 0.55  0.87  0.25  0.78  0.71]
Mouse_326	[ 0.62  0.39  0.04  0.44  0.87]
Mouse_33	[ 0.19  0.35  0.82  0.34  0.92]
Mouse_334	[ 0.79  0.06  0.12  0.64  0.43]
Mouse_335	[ 0.7   0.07  0.8   0.72  0.52]
Mouse_337	[ 0.51  0.35  0.41  0.23  0.06]
Mouse_34	[ 0.05  0.87  0.39  0.8   0.76]
Mouse_341	[ 0.75  0.76  0.8   0.71  0.19]
Mouse_345	[ 0.35  0.39  0.19  0.46  0.49]
Mouse_35	[ 0.24  1.    0.82  0.26  0.25]
Mouse_352	[ 0.49  0.05  0.83  0.35  0.97]
Mouse_36	[ 0.39  0.54  0.82  0.5   0.87]
Mouse_366	[ 0.34  0.29  0.27  0.24  0.65]
Mouse_37	[ 0.59  0.07  0.62  0.92  0.54]
