AgentID	Genome
Mouse_1	[ 0.98  0.79  0.97  0.14  0.05]
Mouse_10	[ 0.12  0.34  0.    0.79  0.24]
Mouse_100	[ 0.56  0.36  0.55  0.83  0.98]
Mouse_102	[ 0.65  0.3   0.66  0.43  0.06]
Mouse_107	[ 0.52  0.2   0.96  0.61  0.93]
Mouse_108	[ 0.54  0.02  0.15  0.66  0.62]
Mouse_11	[ 0.41  0.33  0.95  0.22  0.47]
Mouse_113	[ 0.72  0.59  0.04  0.7   0.15]
Mouse_117	[ 0.43  0.04  0.86  0.21  0.75]
Mouse_12	[ 0.62  0.88  0.92  0.23  0.52]
Mouse_120	[ 0.44  0.19  0.65  0.78  0.1 ]
Mouse_123	[ 0.2   0.17  0.69  0.2   0.23]
Mouse_129	[ 0.28  0.71  0.87  0.08  0.67]
Mouse_13	[ 0.43  0.29  0.87  0.06  0.91]
Mouse_14	[ 0.16  0.96  0.8   0.87  0.91]
Mouse_15	[ 0.74  0.48  0.33  0.09  0.6 ]
Mouse_150	[ 0.99  0.06  0.01  0.54  0.94]
Mouse_151	[ 0.12  0.34  0.    0.79  0.24]
Mouse_154	[ 0.14  0.74  0.89  0.52  0.38]
Mouse_155	[ 0.54  0.25  0.93  0.92  0.2 ]
Mouse_16	[ 0.53  0.84  0.45  0.49  0.51]
Mouse_161	[ 0.57  0.29  0.16  0.05  0.22]
Mouse_166	[ 0.41  0.33  0.95  0.22  0.47]
Mouse_167	[ 0.6   0.88  0.86  0.5   0.11]
Mouse_17	[ 1.    0.56  0.01  0.75  0.83]
Mouse_173	[ 0.98  0.06  0.43  0.46  0.36]
Mouse_175	[ 0.54  0.02  0.    0.66  0.72]
Mouse_18	[ 0.65  0.73  0.95  0.86  0.66]
Mouse_19	[ 0.51  0.11  0.92  0.27  0.84]
Mouse_191	[ 0.54  0.02  0.15  0.66  0.62]
Mouse_192	[ 0.33  0.04  0.76  0.21  0.75]
Mouse_193	[ 0.98  0.06  0.43  0.36  0.36]
Mouse_195	[ 0.44  0.19  0.65  0.78  0.1 ]
Mouse_199	[ 0.65  0.3   0.76  0.53  0.06]
Mouse_2	[ 0.58  0.39  0.04  0.43  0.76]
Mouse_20	[ 0.25  0.16  0.7   0.93  0.62]
Mouse_204	[ 0.43  0.04  0.76  0.21  0.75]
Mouse_21	[ 0.65  0.1   0.93  0.25  0.24]
Mouse_212	[ 0.54  0.02  0.15  0.56  0.62]
Mouse_214	[ 0.98  0.06  0.43  0.46  0.36]
Mouse_215	[ 0.54  0.12  0.15  0.66  0.62]
Mouse_217	[ 0.33  0.04  0.76  0.21  0.75]
Mouse_218	[ 1.    0.06  0.43  0.36  0.26]
Mouse_22	[ 0.33  0.66  0.4   0.23  0.45]
Mouse_225	[ 1.    0.06  0.43  0.46  0.26]
Mouse_226	[ 1.    0.06  0.43  0.36  0.26]
Mouse_23	[ 0.29  0.58  0.68  0.03  0.88]
Mouse_24	[ 0.41  0.76  0.33  0.44  0.21]
Mouse_25	[ 1.    0.25  1.    0.04  0.23]
Mouse_26	[ 0.44  0.84  0.49  0.67  0.23]
Mouse_27	[ 0.99  0.06  0.01  0.54  0.94]
Mouse_28	[ 0.56  0.82  0.98  0.73  0.49]
Mouse_29	[ 0.38  0.26  0.52  0.99  0.72]
Mouse_3	[ 0.66  0.77  0.75  0.56  0.78]
Mouse_30	[ 0.77  0.79  0.18  0.12  0.35]
Mouse_31	[ 0.74  0.69  0.88  0.4   0.83]
Mouse_32	[ 0.7   0.4   0.63  0.84  0.62]
Mouse_33	[ 0.24  0.69  0.42  0.93  0.64]
Mouse_34	[ 0.81  0.98  0.19  0.15  0.08]
Mouse_35	[ 0.5   0.66  0.8   0.31  0.9 ]
Mouse_36	[ 0.97  0.45  0.8   0.05  0.74]
Mouse_37	[ 0.13  0.76  0.41  0.32  0.85]
Mouse_38	[ 0.33  0.04  0.66  0.21  0.75]
Mouse_39	[ 0.28  0.98  0.16  0.61  0.07]
Mouse_4	[ 0.28  0.72  0.63  0.91  0.29]
Mouse_40	[ 0.71  0.72  0.39  0.07  0.94]
Mouse_41	[ 0.45  0.64  0.05  0.68  0.44]
Mouse_42	[ 0.01  0.69  0.39  0.03  0.58]
Mouse_43	[ 0.97  0.86  0.31  0.49  0.18]
Mouse_44	[ 0.4   0.63  0.9   0.63  0.42]
Mouse_45	[ 0.14  0.86  0.05  0.95  0.87]
Mouse_46	[ 0.13  0.2   0.2   0.84  0.  ]
Mouse_47	[ 0.23  0.54  0.01  0.98  0.56]
Mouse_48	[ 0.16  0.28  0.78  0.25  0.05]
Mouse_49	[ 0.57  0.29  0.16  0.05  0.22]
Mouse_5	[ 0.44  0.19  0.65  0.78  0.1 ]
Mouse_50	[ 0.37  0.63  0.38  0.51  0.54]
Mouse_51	[ 0.22  0.73  0.68  0.14  0.65]
Mouse_52	[ 0.41  0.9   0.99  0.03  0.51]
Mouse_53	[ 0.29  0.    0.49  0.6   0.16]
Mouse_54	[ 0.33  0.94  0.18  0.55  0.91]
Mouse_55	[ 0.43  0.55  0.09  0.81  0.69]
Mouse_56	[ 0.2   0.42  0.73  0.31  0.55]
Mouse_57	[ 0.4   0.06  0.76  0.91  0.66]
Mouse_58	[ 0.54  0.35  0.93  0.92  0.2 ]
Mouse_59	[ 0.87  0.83  0.01  0.24  0.34]
Mouse_6	[ 0.54  0.02  0.05  0.66  0.72]
Mouse_60	[ 0.82  0.97  0.54  0.6   0.01]
Mouse_61	[ 0.12  0.05  0.86  0.48  0.84]
Mouse_62	[ 0.36  0.32  0.7   0.29  0.83]
Mouse_63	[ 0.37  0.97  0.37  0.46  0.93]
Mouse_64	[ 0.41  0.97  0.4   0.77  0.92]
Mouse_65	[ 0.47  0.1   0.16  0.25  0.61]
Mouse_66	[ 0.56  0.9   0.71  0.77  0.58]
Mouse_67	[ 0.6   0.87  0.53  0.39  0.5 ]
Mouse_68	[ 0.72  0.59  0.04  0.7   0.15]
Mouse_69	[ 0.06  0.64  0.24  0.66  0.1 ]
Mouse_7	[ 0.69  0.17  0.27  0.09  0.89]
Mouse_70	[ 0.53  0.83  0.2   0.15  0.16]
Mouse_71	[ 0.98  0.06  0.43  0.36  0.26]
Mouse_72	[ 0.78  0.73  0.54  0.83  0.85]
Mouse_73	[ 0.24  0.74  0.99  0.52  0.38]
Mouse_74	[ 0.76  0.94  0.39  0.59  0.55]
Mouse_75	[ 0.52  0.54  0.38  0.65  0.1 ]
Mouse_76	[ 0.42  0.23  0.18  0.94  0.88]
Mouse_77	[ 0.39  0.84  1.    0.53  0.61]
Mouse_78	[ 0.32  0.69  0.49  0.44  0.58]
Mouse_79	[ 0.01  0.72  0.96  0.29  0.84]
Mouse_8	[ 0.09  0.94  0.48  0.35  0.34]
Mouse_80	[ 0.41  0.37  0.6   0.18  0.81]
Mouse_81	[ 0.52  0.2   0.96  0.71  0.93]
Mouse_82	[ 0.23  0.79  0.5   0.77  0.86]
Mouse_83	[ 0.74  0.41  0.72  0.09  0.08]
Mouse_84	[ 0.65  0.3   0.66  0.33  0.16]
Mouse_85	[ 0.02  0.7   0.26  0.47  0.7 ]
Mouse_86	[ 0.28  0.01  0.26  0.25  0.43]
Mouse_87	[ 0.2   0.17  0.79  0.2   0.23]
Mouse_88	[ 0.82  0.44  0.69  0.71  0.79]
Mouse_89	[ 0.47  0.95  0.63  0.39  0.38]
Mouse_9	[ 0.6   0.95  0.64  0.83  0.63]
Mouse_90	[ 0.07  0.34  0.47  0.93  0.63]
Mouse_91	[ 0.51  0.93  0.46  0.45  0.2 ]
Mouse_92	[ 0.59  0.05  0.35  0.42  0.8 ]
Mouse_93	[ 0.73  0.11  0.22  0.43  0.25]
Mouse_94	[ 0.32  0.44  0.26  0.23  0.07]
Mouse_95	[ 0.61  0.61  0.05  0.18  0.15]
Mouse_96	[ 0.48  0.26  0.74  0.58  0.42]
Mouse_97	[ 0.6   0.88  0.86  0.5   0.11]
Mouse_98	[ 0.67  0.48  0.1   0.2   0.2 ]
Mouse_99	[ 0.28  0.71  0.87  0.08  0.67]
