AgentID	Genome
Mouse_1	[ 0.82  0.68  0.24  0.58  0.13]
Mouse_10	[ 0.33  0.85  0.87  0.46  0.82]
Mouse_100	[ 0.72  0.11  0.15  0.57  0.57]
Mouse_104	[ 0.68  0.12  0.3   0.97  0.49]
Mouse_105	[ 0.09  0.25  0.25  0.12  0.73]
Mouse_11	[ 0.36  0.    0.22  0.77  0.55]
Mouse_115	[ 0.02  0.28  0.46  0.05  0.11]
Mouse_117	[ 0.88  0.01  0.57  0.26  0.71]
Mouse_12	[ 0.26  0.01  0.99  0.56  0.74]
Mouse_121	[ 0.14  0.05  0.13  0.77  0.3 ]
Mouse_13	[ 0.63  0.03  0.98  0.47  0.42]
Mouse_132	[ 0.82  0.02  0.04  0.95  0.39]
Mouse_137	[ 0.68  0.12  0.3   0.97  0.49]
Mouse_138	[ 0.09  0.25  0.25  0.12  0.63]
Mouse_14	[ 0.49  0.23  0.21  0.84  0.08]
Mouse_140	[ 0.68  0.12  0.3   0.97  0.49]
Mouse_15	[ 0.61  0.86  0.13  0.61  0.02]
Mouse_16	[ 0.39  0.15  0.41  0.38  0.28]
Mouse_17	[ 0.85  0.35  0.58  0.97  0.23]
Mouse_18	[ 0.15  0.18  0.5   0.7   0.98]
Mouse_19	[ 0.11  0.1   0.76  0.13  0.87]
Mouse_2	[ 0.32  0.28  0.4   0.97  0.67]
Mouse_20	[ 0.56  0.89  0.89  0.21  0.45]
Mouse_21	[ 0.97  0.69  0.11  0.11  0.33]
Mouse_22	[ 0.26  0.45  0.55  0.22  0.15]
Mouse_23	[ 0.86  0.89  0.08  0.06  0.41]
Mouse_24	[ 0.48  0.09  0.89  0.08  0.38]
Mouse_25	[ 0.72  0.02  0.04  0.95  0.39]
Mouse_26	[ 0.28  0.86  0.78  0.62  0.55]
Mouse_27	[ 0.96  0.8   0.6   0.22  0.03]
Mouse_28	[ 0.47  0.44  0.    0.04  0.68]
Mouse_29	[ 0.06  0.78  0.54  0.36  0.31]
Mouse_3	[ 0.88  0.01  0.57  0.26  0.71]
Mouse_30	[ 0.43  0.43  0.54  0.    0.79]
