AgentID	Genome
Mouse_1	[ 0.04  0.8   0.03  0.84  0.92]
Mouse_10	[ 0.7   0.77  0.33  0.55  0.04]
Mouse_100	[ 0.51  0.71  0.52  0.18  0.14]
Mouse_11	[ 0.83  0.7   0.81  0.22  0.48]
Mouse_12	[ 0.06  0.59  0.95  0.94  0.31]
Mouse_13	[ 0.58  0.58  0.6   0.21  0.65]
Mouse_14	[ 0.19  0.69  0.72  0.96  0.91]
Mouse_15	[ 0.31  0.17  0.51  0.04  0.28]
Mouse_16	[ 0.31  0.42  0.05  0.09  0.41]
Mouse_17	[ 0.94  0.97  0.64  0.04  0.76]
Mouse_18	[ 0.59  0.38  0.75  0.76  0.93]
Mouse_19	[ 0.74  0.14  0.07  0.57  0.66]
Mouse_2	[ 0.56  0.25  0.94  0.6   0.02]
Mouse_20	[ 0.86  0.76  0.4   0.34  0.79]
Mouse_21	[ 0.85  0.13  0.34  0.61  0.85]
Mouse_22	[ 0.49  0.75  0.92  0.26  0.83]
Mouse_23	[ 0.12  0.4   0.62  0.47  0.41]
Mouse_24	[ 0.31  0.81  0.14  0.89  0.57]
Mouse_25	[ 0.03  0.14  0.52  0.05  0.39]
Mouse_26	[ 0.09  0.36  0.08  0.41  0.32]
Mouse_27	[ 0.6   0.22  0.9   0.86  0.08]
Mouse_28	[ 0.64  0.54  0.87  0.65  0.23]
Mouse_29	[ 0.06  0.13  0.96  0.68  0.88]
Mouse_3	[ 0.67  0.09  0.54  0.49  0.32]
Mouse_30	[ 0.12  0.44  0.04  0.36  0.42]
Mouse_31	[ 0.69  0.6   0.28  0.97  0.25]
Mouse_32	[ 0.59  0.41  0.68  0.34  0.29]
Mouse_33	[ 0.43  0.2   0.77  0.26  0.32]
Mouse_34	[ 0.93  0.89  0.43  0.23  0.66]
Mouse_35	[ 0.37  0.83  0.49  0.02  0.09]
Mouse_36	[ 0.99  0.7   0.03  0.51  0.89]
Mouse_37	[ 0.64  0.96  0.17  0.31  0.55]
Mouse_38	[ 0.97  0.71  0.38  0.25  0.67]
Mouse_39	[ 0.52  0.31  0.86  0.21  0.14]
Mouse_4	[ 0.61  0.81  0.64  0.92  0.41]
Mouse_40	[ 0.04  0.33  0.3   0.84  0.3 ]
