AgentID	Genome
Mouse_1	[ 0.7   0.86  0.91  0.87  0.29]
Mouse_10	[ 0.37  0.57  0.21  0.35  0.93]
Mouse_100	[ 0.99  0.5   0.3   0.75  0.09]
Mouse_101	[ 0.23  0.35  0.32  0.12  0.85]
Mouse_109	[ 0.56  0.46  0.25  0.51  0.31]
Mouse_11	[ 0.83  0.92  0.44  0.07  0.11]
Mouse_116	[ 0.05  0.33  0.68  0.84  0.3 ]
Mouse_12	[ 0.11  0.98  0.64  0.2   0.29]
Mouse_120	[ 0.75  0.11  0.6   0.75  0.62]
Mouse_121	[ 0.98  0.38  0.13  0.3   0.95]
Mouse_122	[ 0.96  0.02  0.28  0.74  0.07]
Mouse_13	[ 0.66  0.38  0.46  0.24  0.04]
Mouse_134	[ 0.96  0.02  0.28  0.74  0.07]
Mouse_14	[ 0.67  0.94  0.44  0.03  0.35]
Mouse_140	[ 0.65  0.11  0.6   0.75  0.62]
Mouse_144	[ 0.75  0.11  0.6   0.75  0.62]
Mouse_145	[ 0.75  0.11  0.6   0.75  0.52]
Mouse_146	[ 0.75  0.11  0.6   0.75  0.62]
Mouse_15	[ 0.64  0.31  0.48  0.18  0.71]
Mouse_16	[ 0.42  0.35  0.64  0.26  0.85]
Mouse_17	[ 0.05  0.33  0.68  0.94  0.3 ]
Mouse_18	[ 0.56  0.46  0.25  0.51  0.31]
Mouse_19	[ 0.95  0.63  0.8   0.4   0.89]
Mouse_2	[ 0.84  0.53  0.14  0.19  0.88]
Mouse_20	[ 0.93  0.61  0.72  0.18  0.06]
Mouse_21	[ 0.44  0.62  0.44  0.58  0.67]
Mouse_22	[ 0.05  0.7   0.61  0.3   0.15]
Mouse_23	[ 0.79  0.6   0.16  0.34  0.26]
Mouse_24	[ 0.04  0.43  0.9   0.44  0.58]
Mouse_25	[ 0.71  0.98  0.92  0.59  0.99]
Mouse_26	[ 0.98  0.38  0.13  0.4   0.85]
Mouse_27	[ 0.41  0.09  0.18  0.21  0.03]
Mouse_28	[ 0.88  0.23  0.68  0.36  0.73]
Mouse_29	[ 0.45  0.78  0.78  0.68  0.  ]
Mouse_3	[ 0.17  0.93  0.27  0.11  0.7 ]
Mouse_30	[ 0.54  0.26  0.37  0.06  0.93]
Mouse_31	[ 0.71  0.5   0.68  0.53  0.7 ]
Mouse_32	[ 0.5   0.43  0.64  0.34  0.14]
Mouse_33	[ 0.77  0.34  0.98  0.8   0.35]
Mouse_34	[ 0.21  0.16  0.35  0.75  0.44]
Mouse_35	[ 0.23  0.07  0.96  0.87  0.1 ]
Mouse_36	[ 0.09  0.21  0.57  0.56  0.36]
Mouse_37	[ 0.77  0.05  0.28  0.49  0.46]
Mouse_38	[ 0.54  0.39  0.65  0.15  0.62]
Mouse_39	[ 0.59  0.    0.74  0.54  0.91]
Mouse_4	[ 0.1   0.02  0.28  0.87  0.7 ]
Mouse_40	[ 0.61  0.28  0.41  0.59  0.64]
Mouse_41	[ 0.65  0.79  0.38  0.53  0.74]
Mouse_42	[ 0.35  0.03  0.76  0.07  0.78]
Mouse_43	[ 0.86  0.19  0.27  0.87  0.3 ]
Mouse_44	[ 0.75  0.66  0.22  0.99  0.62]
Mouse_45	[ 0.42  0.71  0.42  0.53  0.94]
Mouse_46	[ 0.36  0.7   0.34  0.26  0.08]
Mouse_47	[ 0.67  0.58  0.85  0.68  0.01]
Mouse_48	[ 0.71  0.55  0.66  0.69  0.58]
Mouse_49	[ 0.5   0.96  0.93  0.36  0.65]
Mouse_5	[ 0.47  0.02  0.21  0.73  0.46]
Mouse_50	[ 0.66  0.74  0.96  0.37  0.38]
Mouse_51	[ 0.93  0.48  0.74  0.13  0.17]
Mouse_52	[ 0.47  0.57  0.23  0.84  0.27]
Mouse_53	[ 0.35  0.19  0.64  0.7   0.6 ]
Mouse_54	[ 0.42  0.1   0.85  0.95  0.41]
Mouse_55	[ 0.63  0.16  0.82  0.9   0.97]
Mouse_56	[ 0.96  0.02  0.28  0.74  0.07]
Mouse_57	[ 0.71  0.36  0.78  0.59  0.52]
Mouse_58	[ 0.72  0.64  0.1   0.63  0.01]
Mouse_59	[ 0.97  0.2   0.03  0.83  0.65]
Mouse_6	[ 0.02  0.18  0.66  0.13  0.91]
Mouse_60	[ 0.35  0.69  0.07  0.04  0.95]
Mouse_61	[ 0.55  0.61  0.14  0.36  0.28]
Mouse_62	[ 0.62  0.25  0.95  0.79  0.21]
Mouse_63	[ 0.07  0.11  0.42  0.37  0.89]
Mouse_64	[ 0.8   0.18  0.02  0.94  0.26]
Mouse_65	[ 0.23  0.35  0.32  0.02  0.85]
Mouse_66	[ 0.06  0.36  0.2   0.84  0.66]
Mouse_67	[ 0.95  0.25  0.3   0.06  0.29]
Mouse_68	[ 0.64  0.21  0.78  0.7   0.23]
Mouse_69	[ 0.08  0.93  0.42  0.94  0.68]
Mouse_7	[ 0.35  0.14  0.51  0.74  0.81]
Mouse_70	[ 0.25  0.2   0.15  0.56  0.58]
Mouse_71	[ 0.33  0.96  0.23  0.51  0.91]
Mouse_72	[ 0.33  0.6   0.89  0.67  0.43]
Mouse_73	[ 0.59  0.43  0.64  0.18  0.72]
Mouse_74	[ 0.74  0.74  0.48  0.75  0.63]
Mouse_75	[ 0.88  0.06  0.19  0.99  0.97]
Mouse_76	[ 1.    0.01  0.3   0.6   0.92]
Mouse_77	[ 0.81  0.12  0.69  0.7   0.73]
Mouse_78	[ 0.65  0.51  0.03  0.97  0.75]
Mouse_79	[ 0.85  0.54  1.    0.03  0.99]
Mouse_8	[ 0.75  0.11  0.6   0.75  0.62]
Mouse_80	[ 0.61  0.82  0.11  0.11  0.8 ]
Mouse_81	[ 0.82  0.    0.34  0.55  0.9 ]
Mouse_82	[ 0.62  0.77  1.    0.83  0.47]
Mouse_83	[ 0.76  0.07  0.63  0.72  0.28]
Mouse_84	[ 0.54  0.9   0.88  0.17  0.53]
Mouse_85	[ 0.09  0.68  0.06  0.55  0.18]
Mouse_86	[ 0.05  0.59  0.48  0.01  0.69]
Mouse_87	[ 0.87  0.4   0.54  0.42  0.23]
Mouse_88	[ 0.62  0.52  0.37  0.17  0.38]
Mouse_89	[ 0.2   0.79  0.89  0.54  0.1 ]
Mouse_9	[ 0.18  0.91  0.19  0.37  0.32]
Mouse_90	[ 0.96  0.37  0.41  0.44  0.91]
Mouse_91	[ 0.79  0.1   0.11  0.24  0.28]
Mouse_92	[ 0.78  0.12  0.78  0.45  0.93]
